immmmmmm i........1 "i...
Admití stracion Princip.l de Loterías de la Isla de Cuba.
Factura de 821 billetes correspondientes al sorteo ordinario núm. 1041 que se ha de celebrar en el dia de mañana y que inutilizados. por no haberse vendido en esta Administración se remiten ú la Contaduría General de Hacienda.
Núm.	al	Núm.	Son.	Núm.	al	Núm.	Son.
5267	V	5350	2	Del frente...			347
5546	»		1				
5625	))	5626	2	17587	y	17588	2
5736	))	5772	2	17590	»	17591	2
5943	»	5957	2	17625	))	17627	2
6068	»	6176	2	17672	»	17699	2
6183	))	6274	2	17728	»	17731	2
6326	))	‘6327	2	17763	))	17793	2
6354	»	6532	2	17796	))		1
6536	J)	6587	2	17817	al	17819	3
6597	))	6673	2	17825	»	17828	4
6681	»		1	17856	V	17876	2
6696	al	6698	3	17879	al	17882	4
6720	y	6721	2	17913	y	17916	2
6731	))	6732	2	17923	))	17924	2
6822	al	6828	7	17926	al	17931	6
6839	»		1	17956	V	17987	2
6871	»	6873	3	18048	))	18049	2
6975	»		1	18052	)>	18074	2
6977	y	6978	2	18086	»	18131	2
7128	»	7233	2	18171	al	18176	6
7335	))	7354	2	18178	y	18179	O u
7567	))	7698	2	18181	))	18208	2
7731	))	7753	2	18217	))	18231	2
7790	))	7803	2	18234	))	18235	2
7806	))	7821	2	18247	))	18251	2
7921	al	7924	4	1826.3	))	18264	2
7928	y	7929	2	18269	))	18270	2
8153	))	8154	2	18273	»	18283	2
8156	)>	8164	2	18291	))	18294	2
8184	»	8187	2	18304	))		1
8196	))	8251	2	18306	al	18309	4
8266	»	8267	2	18329	y	18334	o
3312	))	8321	2	18342	al	18345	4
8324	»	8325	2	18351	))		1
8386	))	8455	2	18354	)>	18356	O O
8495	»		1	18368	y	18373	2
8*28	al	8534	i	1S385	al	18390	6
8583	))		1	18392			1
8651	y	8652	2	18533	y	18534	2
8654	»	8676	2	18536	al	18544	9
8678	»	8760	2	18553	»		1
8789	»	8800	2	18556	y	18557	2
8830	»	884«	2	18559	))	18574	2
8851	»	8907	2	18590	al	18592	3
8920	»	8925	2	18606	))	18608	3
9224	))	9228	2	18621	»		1
9261	»	9348	2	18623	y	18624	2
9351	»	9520	2	18669	))		1
9592	al	9594	3	1868C	al	18689	4
9598	»	9600	O O	18733	»	18736	4
9621	V	9782	2	18738	»	18741	4
9792	al	9794	3	18753	»		1
9936	y	9944	2	18803	»	18807	5
9979	))		1	18819	y	18829	2
10492	»	10494		18831	))	... . T	1
10581	»	10586	2	18841	al	18843	3
10588	»	10589	2	18851	))	18853	3
10760	))		1	18864	y	18900	2
11458	))	11524	2	18924	al	18926	3
11682	»	11683	O	18936	»	18938	3
12025	))	12096	2	18976	))	18979	2
12122	))	12123	2	18981	))	18982	2
12188	))	12189	2	18990	al	18994	5
12191	»	12192	2	19029	))		1
12204	al	12206	O O	19038	y	19039	2
12244	y	12264	2	19042	»		1
12354	»	12571	2	19056	»	19057	2
12595	al	12597	3	19063	))		1
12608	w		1	19066	))	19067	2
12668	al	12670	3	19076	))		1
12692	y	12731	2	19102	»	19106	2
12748	»		i	19127	al	19129	3
12824	))	12825	2	19131	y	19133	2
12887	»		1	19142	))	19148	2
12889	al	12892	4	191G5	al	19169	5
12978	y	13059	2	19172	»	19194	3
13134	))	13136	2	19197	y	19200	2
13185	))		1	19213	»	19221	2
13238	))	13239	2 1	19229	))	19236	2
13242	))	13321	2	19246	))		1
13330	))	13521	2 I	19263	))	19264	2
13523	»	13525	2	19268	))	19280	2
13591	J)	13594	2	19288	))	19313	2
13620	»				i	19337	))	19338	2
13695	))	13696	2	19342	))	•«*•«•«•	1
13706	)>	13733	2	19349	al	19351	3
13791	))	13821	2	19353	»		1
13859	))	13862	2	19362	;>	19364	3
13909			1	19377			1
13926	)>	13927	2	19436	y	19437	2
13997	))	13998	2	19495	»		1
14279	))	14291	2	19521	)>	19522	2
14632	»	14634	O ¿i	19525	al	19527	3
14636	))	15237	2	19531	y	19537	2
15239	)>	15298	2	19576	))	19584	2
15361	)>	15592	2	19587	al	19589	3
