*çry> vh
7VV 1
Administración Principal de Loterías.
FACTURA de 1,316 billetes correspondientes al sorteo ordinario número 1,042 que se ha de celebrar en el dia de mañana y que inutilizados por no haberse vendido en esta Administración se remiten á la Contaduría general de Hacienda,
Núm.	al	Nòni.	Son	Núm.	al	Núm.	Son
01 OB			1	Del frente				330
8228	al	8230	O O				
8249			1	17576	y	17626	2
8254	y	8255	2	17636	»		1
8262	)l	8263	2	17658	))	17659	2
8288	))	8289	2	17680	»		i
8338	»		1	17686	»	17687	2
8361	»	8362	2	17692	»	17672	2
8372	»	8495	2	17697	»	17699	2
8516	))	8547	2	17712	»	17753	2
8551	)>	8560	2	17755	))	17756	2
8573	»	8591	2	17779	»		1
8637	))	8651	2	17797	))	17798	2
8696	»	8697	2	17813	)>	17820	2
8730	))	8760	2	17825	al	17827	3
8783	))	8784	2	17851	y	17853	2
8789	»	8812	2	17884	»	17926	2
8886	»	8887	2	18048	))	18049	2
8890	al	8898	9	18052	»	18054	2
Ü07K			1	18062	»		1
9360	))	9362	3	18083	))	18084	2
9378	V	9381	2	18091	al	18093	3
9385	»	9395	2	18096	y	18097	2
9133	al	9435	O O	18120	))	18121	
9477	y	9488	2	18189	))		í
9523	»	9579	2	18275	al	18281	n i
9594	))	9668	2	18329	V	18340	2
9670	))	9671	2	18364	al	18367	4
9683	;>	9697	mi	18376	y	18388	2
9744	)>	9745	2	18394	»		1
9884	»	9886	2	18421	al	18424	4
9891	al	9894	4	18438	d	18440	3
9933	y	9982	2	18452	y	18453	2
10204	»	10207	2	18465	»		1
10250	))	10481	2	18469	»	18470	2
10503	))	10594	2	18472	»	18473	2
10603	))	10620	2	18489	»	18524	2
10728	))		1	18532	))	18533	2
11392	»		1	18550	al	18557	8
11551	))	11558	2	18572	y	18573	2
11589	»	11630	2	18601	))		1
11918	»	11932	2	18650	»	18651	2
11941	al	11943	3	18654	)>	18655	2
12038	y	12230	3	18667	))	18668	9
12231	»	12246	2	18675	»		í
12250	))	12256	2	18680	»	1S681	2
12289	)>	12292	2	18687	»	18688	2
12329	))	12551	2	18724	»	18726	2
12562	))	12565	2	18757	al	18760	4
12567	))	12654	2	18798	y	18799	2
12656	))	12674	2	18820	al	18822	3
12699	))		1	18824	))	18828	5
12749	))	12750	2	18854	y	18855	2
12774	)) •		1	18890	i)	18898	2
12788	))	12789	2	18900	al	18902	3
22793			1	18906			1
12833	»	12834	2	18920	»	18922	3
12916			1	18928	»		1
12933	al	12937	5	18965	»	18969	5
12940	»		1	18971	y	18972	2
13164	y	13278	2	19023	))	19025	2
13280	»	13281	2	19052	»		1
13352	))	13353	<>	19055	))	19056	2
13377	))	13381	2	19058	»	19059	2
13387 ■	»		1	19092	al	19094	3
13400	))	13401	2	19096	m	19098	3
13423	»	13424	2	19100	»			1
13427	))	13428	2	19102	y	19103	2
13565	))	13581	2	19121	»	19131	2
13587	)>	13685	2	19152	))	19153	2
13695	))	13698	2	19155	»	19156	2
13730	I)		1	19173	)»	19188	2
13750	»	13751	2	19194	»	19200	2
13770	))	13786	2	19226	»	19229	2
13831	))	13832	2	19361	))		1
13947	al	13950	4	19365	al	19367	3
13998	»		1	19373	y	19374	2
14076	y	14473	2	19376	al	19378	3
14542	))	14576	2	19396	))		1
14621	»		1	19454	y	19455	2
14831	))	14832	2	19457	»	19458	2
11962	)>		1	19468	»	19469	2
14967	al	14969	3	19480	))		1
14987	))	• > • • • 1,	1	19485	al	19487	3
14991	y	14992	2	19499	»		1
15100	))	15126	2	19525	al	19527	3
15425	))	15465	2	19536	»	19538	3
15486	))	15495	2	19543	y	19544	2
15564	))	15569	2	19546	al	19548	3
15612	)>		1	19563	))	19565	Q Ó
15884	))	15885	2	19570	y	19682	2
16092	))	16093	2	19622	))	19623	9
16095	)>	16100	2	19653	))	19654	2
16120	))	16121	2	19657	al	19659	3
16128	»		1	19668	V	19675	2
16158	))	16159	2	19680	))	19681	2
16162	))	16163	2	19687	I)	19689	2
16275	al	16277	3	19693	»		1
16279	))	16281	3	19743	al	19745	3
16283	y	16284	2	19798	y	19799	2
16298			i	19820	»		i.
16374	al	16377	4	19822	)>	19823	2
16389	»		1	19825	al	19828	4
16393	y	16394	2	19853	y	19854	2
16422	b		1	19891	«	19892	2
16427	al	16429	3	19963	»	19964	2
16433	))		1	20042	»	20054	2
16442	y	16443	2	20058	»	20059	2
16445	»	16467	2	200S6	»	20087	2
16471	al	16474	4	20C89	»		1
16482	y	16489	2	20091	í)	20092	2
16525			1	20101	))		1
16551	al	16553	3	20103	al	20110	8
16623	)>		1	20114	y	20178	2
1C625	))	16629	5	20225	al	20233	9
16637	y	16648	2	20235	))		1
16651	))	16652	2	20245	»	20247	3
16662	»	16672	2	20268	y	20290	2
16681	»	16683	2	20299	»	20300	2
16685	»	16689	2	20307	))	20320	2
16694	»	16695	2	20322	»	20323	2
16709	»	16710	2	20336	al	20339	4
16740	»		1	20352	y	20356	2
16742	»	16743	2	20358	al	20360	3
16765	)>		1	20370	»	20372	3
16784	»	16785	2	20383	»		X
16789	»	16790	2	20385	y	20386	2
16806	al	16810	5	20401	al	20403	3
16833	y	16834	2	20406	y	20408	2
16851	b	16852	2	20422	al	20420	5
16874	»	16875	2	20435	y	20443	2
16906			1	20445	1)		1
16908	»	16909	2	20465	»	20466	2
16918	»	16947	2	20483	al	20488	6
16950	al	16954	5	20510	y	20511	2
16956	»		i	20524	))	20549	2
17048	b		i	20555	))	20569	2
17051	»	17053	o o	20593	))		i
17058	»		1	20623	))	20624	2
17106	y	17107	2	20628	))	20629	2
17122	»	17123	2	20631	»		1
17154	»	17156	2	20638	»	20639	2
17158	«	17202	2	20645	»		1
17204	»		1	20650	))	20651	í)
J 7257	al	17259	o O	20657	;>	20658	Ai
17263	»	11267	5	20664	»	20665	2
17342	»		1	20693	al	20696	4
17354	»	17357	4	20701	»	20710	10
17379			1	20733	))		1
17384	»	17386	O	20754	y	20755	2
17398	y	17399	2	20759	al	20761	3
17448	»	17449	2	20791	y	20792	2
17451	»	17452	2	20342	al	20844	3
17458	»		1	20853	))	20855	3
17469	»	17470	2	20866	Y	20867	2
17497	«	17503	2	20937	al	20939	3
17506	»	17524	2	20941	))		1
17527	)>		i	20979	))	20998	20
17556	al	17561	6	453	y	456	2
Al frentq.				330	Al frente..,,,.,,,			715
Núm.	al	Núm.	Son.	Núm.	al	Núm.	Son
	Del frente..		..715	iJt	i -1	ente		1112
475	V	490	2	23981	al	23988	8
550	))		1	24035	»	24037	3
942	al	948	7	24057	))		1
954	»		1	24061	))	24065	5
956	»	960	5	24067	y	24068	2
962	))		1	24175	»	24176	2
979	))	983	5	24178	»	24179	2
1249	y	1250	2	24181	al	24185	5
1268	»	1376	2	24187	»	24196	9
1396	»	1446	2	24293	»		1
1451	))	1465	2	24300	))	24302	3
1484	))	1859	2	24324	))		1
1953	»	1954	2	24341	))	24345	5
1964	))		1	21367	))	24369	3
1967	al	1970	4	24375	»	.,,, ,,	1
1977	))	1985	9	24387	))	24389	3
2177	v	2224	2	24430	Y	24436	2
2252	al	2254	3	24440	al	24443	4
2268	V	2275	2	24446	»	..... ..	1
2288	»	2443	2	24470	V	24471	2
2446	»	2512	2	24474	»	24475	2
2573	)>	2653	2	24480	»	244M	2
2682	»	2754	2	24524	»	24525	2
2844	))	2951	2	24537	))	24538	2
2953	)>		i	24547			1
2962	al	2974	13	24573	))	24574	2
2978	«		1	24595			i
2980	»	2983	4	24608	))	24609	o Ai
3158	y	3162	2	24622	))	24627	2
3272	»	3273	2	24629	))	24636	2
3283	I)	3327	2	24638	»	24639	2
3363	)>	3370	2	24668	ai	24672	5
3386	))	3506	o	24678	))		1
3696	»		i	24683	))	24685	3
3735	))	3736	2	24690	V	24691	2
3865	))	3908	2	24740	al	24742	O
3950	))	3968	2	24767	))		1
3971	I)	3972	2	24776	al	21779	4
3974	»	3975	2	24796	y	24797	2
3978	»	3979	2	24808	»		1
3981	al	3983	3	24816	al	24820	5
4374	y	4375	2	24852	))	24857	6
4398	»	4467	2	24902	»	24904	3
4475	»	4651	2	24906	y	24935	2
4741	»	4753	2	24939	»		ï
4875	»		1	24974	al	249711	6
5789	»		1				
6134	))	6135	2		Medios.		
6140	»	6149	O				
6172	))	6173	2	8290	V	8305	1
6186	))	6191	2	8558	)>	8563	1
64.90	al	6492	3	8564	»	8674	1
6525	»		1	869(1	))	8827	1
