GACETA DE LA HABANA
615
lio 98 ORDEN	LIBRO.	FOLIO.	CONTENTO. *	IMPORTE DE LOS RECIBOS	
53	19	139 .	San Agustín.	$	6 25
54		140	Idem.	»	8 50
55		142	Idem.	»	16 50
56		143	Idem.	»	5° •
57		147	Idem.	»	3° •
58		196	Idem.	»	10 .
59		199	Idem.	»	10 .
61	Ú.	182	San Felipe.	»	17 5°
4>3		214	Idem.	»	*5 •
Ó4		56	Merced.	b	3163
68		209	Idem.	b	9 70
69		211	Idem.	»	9 7°
70		34	Belén.	»	35 • *
73		25	Jesuítas.	»	80 .
74		29	Idem.	- »	40 .
75		9	San Isidro.	»	2 50
76		10	Idem.	*	2 50
78		25	Universidad.	»	7 .
79		27	Idem.	»	20 .
-80		35	Idem.	»	10
		NUMERO 3.			
¡Relación de los recibos de réditos de censos de Regulares, vencidos en Junio de 1890, que se hallan pendientes de pago y han sido entregados por tal motivo á la Tesorería de esta Administración.
I9 IE )R9EN	LIBRO.	FOLIO.	CONVENTO.	IMPORTS DE LOS RECIBOS.	
i	20	12	Santo Domingo.	$	25 * *
2		*3	Idem.	b	2 5 •
		14	Idem.	»	40 .
4		15	Idem.	»	25 •
5 • 6		19	Idem.	»	S® •
		28	Idem.	»	55 •
7		29	Idem.	j»	5 •
8		3°	Idem.	j*	*5 •
Q		32	Idem. ‘	»	12 50
ÏO		35	Idem.	N	10 31
II		39	Idem.	»	10 .
12		43	Idem.	B	5 •
Ï3		44	Idem.	»	5 •
14		46	Idem.	»	n 94
*5 16		48	Idem.	»	15 •
		51	Idem.	1»	200 .
17		53	Idem.	»	*5 •
18		55	Idem.	»	5° •
19		57	Idem.	»	6 25
ao		264	Idem.	B	5° •
21	Û.	119	Sto. Domingo de Gnbca	B	20 .
22		123	Idem.	»	10 .
23		I25	Idem. •	»	10 .
24		127	Idem.	B	5 •
25		*3*	Idem.	H	20 .
26		*33	Idem.	B	*5 •
27	29	35	San Francisco.	B	7 5°
28		45	Idem.	B	2$ •
29		55	Idem.	B	12 50
3o		59	Idem. .	»	25 •
31		62 ■	Idem.	B	5° •
32 ‘33		66	Idem.	B	7 50
		71	Idem.	B	25 •
34		72	Idem.	B	25 50
35		74	Idem.	B	50 *
36		77	Idem.	»	50 •
37		79	Idem.	»	15 •
38		80	Idem.	B	5° •
39		81	Inem.	n	100 .
40		186	Idem.	»	25 •
41		202	Idem.	b	25 •
42	V.	12	Idem Guanabacoa.	A	10 .
43	19	*5*	San Agustín.	B	8 25
44		183	Idem.	B	IO •
45		I53	Idem.	B	2 50
47		* 154	Idem.	»	5 •
48 49 50 51		155	Idem.	B	*5 •
		• 161	Idem.	»	66 25
		163	Idem.	B	15 •
		167	Idem.	B	5° •
		170	Idem.	9»	6 .
.52		171	Idem.	»	10 .
53 54 55 56 57 58 59 60		174	Idem.	B	*5 .
		175	Idem.	B	25 •
		176	Idem.	B	90 .
	Ú.	71	San Felipe.	B	87 50
		72	Idem.	B	5 40
		73	Idem.	B	40 .
		74	Idem.	»	20 .
fit		75	Idem.	B	200 .
		76	Idem.	»	100 .
62		S»	Merced.	B	19 37#
64 ¿5 66		59	Idem.	B	19 37J¿
		66	Idem.	B	25 •
		70	Idem.	B	42 5O
67 74 75 76 77		71	Idem.	B	¿O .
		35	Jesuítas.	B	30 87
		li 43	San Isidro. Universidad.	B B	6 02}i 33 75
		49	Idem.	B	5 .
NUMERO 4.
Relación de los recibos de réditos de censos de Regulares, vencidos en el mes de Julio de 1890, ~que para su cóbro han sido entregados por esta Administración principal al Tesorero de la misma.
No DE	<=> 05		*	IMPOSTE DE	
ORDEN	gq	FOLIO.	CONTENTO.	LOS RECIBOS.	
i	20	70	Santo Domingo.	$	25 — .
2	...	71	Idem.	B	6 ss yi
3	...	73	Idem.	B	6 87*/%
4	• ••	74	Idem*	B	10’...
5	...	76	Idem.	B	5<> —
6	...	77	Idem.	B	50 ...
7	...	78	Idem.	B	20 . •
8	...	81	Idem.	B	. -5 .V
9	...	82	Idem.	B	10 ...
IO	...	83	Idem.	B	10 ..
lì	...	«s	Idem.	B	10 ...
12	...	90	Idem.	B	25 • •
*3	...	91	Idem.	B	25 ...
14	...	96	Idem.	B	18 ..
15	...	m	Idem.	B-	25 ...
16	...	115	Idem.	B	6 32
17	...	116	Idem.	B	6 32
18	...	119	Idem.	B	15 ••
*9		121	Idem.	B	50 ...
20	...	126	Idem.	»	38 32
21	...	128	Idem.	B	II 5O
22	...	129	Idem.	»	75 — ‘
23	U.	135	Idem de Guanabacoa.	B	43 5°
24	...	137	Idem.	B	t8 25
25	...	*43	Idem.	B	20 ...
2Ó	••	I45	Idem.	B	n 25
27	...	147	Idem.	»	12 50
28	...	149	Idem.	B	16 50
29	...	*53	Idem.	B	2 50
* 3°	...	155	Idem.	»	2 5°
31	-•	*57	Idem.	B	13 ...
32	...	I59	Idem.	B	. 7 5°
33	...	161	Idem.	B	21 82
34	...	163	Idem.	B	12 50
35	...	169	Idem.	B	2 5°
36	...	171	Idem.	B	2 50
37	...	177	Idem.	B		 84
38	. •	179	Idem.	»		 84
39	...	181	Idem.	B		 84
40	• •	183	Idem.	»	... • 84
41	...	185	Idem.	B		 84
42	...	187	Idem.	B		 84
43	...	I89	Idem.	B	I 69
44	...	I9I	Ide.ïi.	B	21 27
45	29	87	San Francisco.	»	6 53
46	..	88	Idem.	B	7 5°
47	...	89	Idem.	B	10 ...
48	•• .	98	Idem.	N	12 50
49	...	101	Idem.	B	12 50
5°	... .	107	Idem.	B	50 ...
51	...	10 8	Idem.	B	32 5°
52	...	109	Idem.	»	26O
53	...	197	Idem.	»	357 5°
54	...	114	Idem.	B	10 ...
55	...	"5	Idem.	B	10 ...
56	...	II9	Idom.	B	21 ...
57	...	122	Idem,	B	10 ...
s»	...	131	Idem.	B	50 ...
59	-M	187	Idem.	B	8419
' 60	U.	76	Merced.	B	70 ...
61	...	78	Idem.	B	25 ...
62	...	82	Idem.	B	25 ...
63	...	83	Idem.	»	7 5°
64	...	87	Idem.	B	50 ...
65	••%	89	Idem.	B	25 ...
66	...	170	Idem.	»	75 -
67	20	2	San Agustín.	B	10 ...
68	...	3	Idem.	B	*20 ....
69	...	6	Idem.	»	5 if
70	...	7	Idem.	B	40 ...
71	...	8	Idem.	B	50 ...
72	...	9	Idem.	B	10 ...
73	...	10	Idem.	B	28 ...
74		il	Idem.	B	il 25
75	...	17	Idem.	B	50 ...
76	...	18	Idem.	B	6,87
77	...	19	Idem.	»	8 ...
78	...	»83	Idem.	B	25 25
79	...	174	San Francisco.	»	12 50
80	...	*75	Idem.	>Î	12 .50
81	...	176	Idem.	B	25 ...
82	U.	39	Belén.	B	10 ...
83	...	m	Idem.	B	25 ...
84	...	82	San Feline.	B	5 —
85	...	83	Idem.	B	17 50
86	...	84	Idem.	B	8 75
87	...	84	Idem.	B	8 75
88	•M	213	Idem.	B	228 75
89	...	185	Idem.	B	5 -
90	••	43	Jesuítas.	B	15 ...
91	• •	45	Idem.	B	10 ...
92	...	49	Idem.	B	10 ...
93	...	57	Univc sidad.	B	15 ••
94	29	124	Santo Domingo.	»	31 "V
95	...	124	Idem.	B	3 *7 #
96	...	124	Idem.	»	317#
97	...	124	Idem.	B	3 99r/
98	...	124	Idem.	B	3 »7#
99	...	124	Idem.	B	‘ 7 20
Ioo	...	124	Idem.	B	i 10
*OI	...	124	Idem.	B		85
N* de orden.	1 libro-	Folio,	CONVENTO.	Importe de Ion recibos.
102	2?	124	Santo Domingo.	$ ..... 95
103	...	124	Idem.	D I IO
104	...	124	Idem.	B 3 IO
105	...	124	Idem.	» a 85
106	...	72	San Agustín.	» 141 85
107	89	225 AUNL	Zanja Real.	» 60 ...
NUMERO 5.
