GACETA DE LA HABANA
639
1*9)1 •un	LIBRO.	mío.	COSTEELO.	IMPORTE 11 LO) RECIBOS	
33	*9	139	San Agustín.	$	6 23
54		14P	Idem.	»	8 50
55		14*	Idem.	9	16 50
56		143	Idem.	»	5° •
57		«47	Idem.	»	3o •
58		196	Idem.	»	IO .
59		«99	Idem.	»	10 .
	Ú.	I82	San Felipe.	»	«7 5°
		2Ï4	Idem.	»	15 •
64		56	Merced.	B	31 63
68		2O9	Idem.	B	9 70
6$		2 ri	Idem.	»	9 7°
70		34	Belén.	»	35 •
73		*5	Jesuítas.	»	80 .
74		®9	Idem.	»	40 .
75		9	San Is'dro.	»	2 50
76		IO	Idem.	B	2 50
78		25	Universidad.	B	7 •
79		27	Idem.	»	20 .
«o		35	Idem.	*	IO
		NUMERO 3.			
Relación de los recibos de réditos de censos de Regulares, vencidos en Junio de 1890, que se hallan pendientes de pago y han sido entregados por tal motivo á la Tesorería de esta Administración.
No 11 «eben	LIBRO.	FOLIO.	CONTENTO.	IMPORTE BE LOS RECIBOS.	
I ’	20	12	Santo Domingo.	$	25 •
2		13	Idem..	»	25 •
		14	Idem.	»	40 .
4		15	Idem.	))	25 •
5		19	Idem.	10	5° •
6		28	Idem.	»	55 ••
7		29	Idem.	10	5 •
8		3°	Idem.	»	*5 •
9		32	Idem.	»	12 50
10			Idem.	»	10 31
ii		39	Idem.	»	IO .
>12		43	Idem.	»	5 •
«3		44	Idem.	»	5 •
14		46	Idem.	»	ii 94
15		48	Idem.	))	*5 -
l6		51	Idem.	u	200 .
*7		53	Idem.	»	*5 •
18		55	Idem.	B	5° •
*9		57	Idem, v	»	6 25
20		264	Idem.	»	5° •
21	ú.	119	Sto. Domingo de Gnbca	»	20 .
22		123	Idem.	»	IO .
53		125	Idem.	)í	IO .
24		127	Idem.	B	5 •
2 5		131	Idem.	B	20 .
26		133	Idem.	»	*5 •
27	29	35	San Francisco.	B	7 50
28		45	Idem.	B	25 •
29		55	Idem.	B	12 50
3o		59	Idem.	B	25
31		62	Idem.	B	5° •
32		66	Idem.	B	7 5°
33		71	Idem.	B	25 •
34		72	Idem.	B	25 5o
35		74	Idem.	B	5° •
36		77	Idem.	»	50 •
37		79	Idem.	B	*5 •
38		80	Idem.	»	50 •
39		81	Inem.	))	100 .
40		186	Idem.	B	25 •
41		202	Idem.	B	25 •
42	Û.	12	Idem Guanabacoa.	1)	10 .
43	19	*5*	San Agustín.	B	8 25
44		183	Idem.	»	10 .
45		«53	Idem.	B	2 SO
47		«54	Idem.	B	5 •
48		«55	Idem.	B	*5 •
49		I6I	Idem.	B	66 25
5°		163	Idem.	B	*5 •
5»		167	. Idem.	B	5° •
