mo
gaceta de la habana
Vit triti.	I libro.	folie.	CONVENTO.	Importe de los recibos.	
90	u.	231	Sto. Domingo de Gnbca	$	12 50
91	...	233	Idem.	0	JO ...
92		235 .	Idem.	0	4 5°
93	...	237	Idem.	0	20
94	...	239	Idem.	))	20 ...
95	...	241	Idem.	»	22 50
96	...	245	Idem.	»	25 ...
97	...	247	Idem.	»	20 ..
9«	...	249	Idem-	0	5 -
99	...	253	Idem-	0	50 ...
IOO	...	257	Idem.	0	7 3*
TOI		259	Idem.	0	IO ...
102	29	*37	San Faancisco.	0	IO ...
IO3	...	I4O	Idem.	0	30 —
IO4		I42	. Idem.	0	35 ••••
*°5	...	*45	Idem.	0	50 ...
106	•••	146	Idem.	0	65 ...
307	...	*49	Idem.	0	35 —
108		I50	Idem.	0	50 ...
IO9	•••	*5*	Idem.	)>	25 —
no	• ••	*5&	Idem.	»	6 25
III	...	*59	Idem.		IOO ...
112	... '	i66-	Idem.		20 ...
1*3	...	168	Idem.	0	25 ...
**5	•	175	Idem-	0	45 —
II6		180	Idem.		5
117	...	*85	Idem.	0	IO ...
II8	....	I9O	Idem.	0	6 25
1x9	....	19X	Idem.	0	*2 50
120	...	192*	Idem.	0	*8 75
S2I	u.	*5	Idem de Guaimbacoa.		5 •••
122	...	*7	Idem.	0	25 ...
I2J		21	San Agustín*	0	7 50
I24		23:	Idem.	0	10 ...
I25	...	3°	Idem*	0	25 ...
126	...	3*	Idem.	0	30 ...
127	...	32:	Idem;	0	3o —
I.28	...	33¿	Idem-	0	30 ...
I29	...	34	Idem. ,	0	30 ...
13O	*	36	Idem.	0	32 50
*3*	.« •«.	37	Idem.	0	35 —
132	....	43	Idem*	0	9 37
133		46	Idem.	0	6 25
134	...	48	Idem;	0	*2 50
135	• 0	49-	Idem.	0	12 50
136	»»»..	5*	Idem*	0	*3 75
137	...	5.*?	Idem*	»	67 25
138		57	Idem*	0	50 —
139	...	58	Idem.	0	75 —
I4O	• »	6l	Idem*	»	40 ...
141	....	63	Idem*	0	53.75
142	...	64	Idem*	0	IO ...
143	...	65	Idem;	0	15 ...
144	...	67	■ Idem;	0	28 72
145	...	73-	Idem;	0	50 ...
146	....	74	Idem.	0	50 ...
147	...	75	Idem;	0	IO 0 0
148		186»	Idem*	0	8 75
149	...	35	Idem.	0	50 —
i5°	u.	91	Merced*	0	7 50
*5*	...	92	Idem.	0	8 75
152	....	93	Idem.	0	8 75
IS3	...	96 ■	Idem»	0	IO ...
154		97	Idem*	0	10 ...
ISS	...-	98	Idem*	0	13 12
iS6	....	99	Idem-	0	15 ...
157	...	IOO	Idem*	0	*5 ••
158	...	I OI,	Idem*	0	17 5°
159	...	103;	Idem-	0	17 5°
160	...	106	Idem.	0	26 73
l61	...	IIO	Idem.	0	25 —
162	•V-	II2*.	Idem-	0	3° ...
163		rió-	Idem.	0	15 ...
164	...	1x7	Idem.	0	15 -
165	...	2*5	Idem*	0	9 95
166	...	215	Idem*	0	9 95
167	...	' 218	Idem.	0	9 87
168	..	2I9	Idem.	0	14 25
169	...	220	Idem.	0	9 87
I7O		222:	Idem.	0	*7 5°
171		43	Belén*	0	7 5°
172	...	44	Idem;	0	7 5°
*73	...	47	Idem*	0	JO ...
174	...	52	Idem.	0	*7 5°
*75	...	53	Idem*	0	30 ...
176	...	80	Idem.	0	IO ..
i77	...	86-	Idem.	0	5*2 85
178	...	97	Idem.	0	97 75
179'		102	Idem.	0	*7 5o
180-		86	San Felipe.	0	5
1.81	...	87	Idem.	0	5 —
182		88"	Idem.	0	15 —
183	...	90	Idem.	0	8 75
184	....	9*	Idem.	0	*7 5o
185	....	92:	Idem.	0	*7 5o
186		94'	Idem.	0	20 68
*87	...	96-	Idem.	0	25 68
x88		98	Idem.	0	IOO ...
189		300'	Idem.	0	200 ...
I9O		*03;	Idem*	0	7 5°
191	...	104	Idem.	0	7 50
I92		105	Idem.	0	*3 37
163	...	. IO7	• Idem;	0	*3 37
194	...	II4	Idem.	0	24 5o
195	...	*9*	Idem.	0	20 68
396.	...	203	Idem.	•0	*3 43
*97	...	2O4	Idem.	0	15 —
198	..	205	Idem.	0	20 ...
*99	...	2X2L	Idem*	0	*7 5°
ríe Orden.	O *4 &	Folie.	Oonrento.	Importe de les recibes.	
200	u.	57	Jesuítas.	$	IO ...
201	...	59	Idem.	0	IO ...
