GACETA DE LA HABANA
179
Núm. de orden.	1 Libro.	.2 £ CONVENTO.	Importe de los recibos.
74	7?	86 vto. Zanja Real óS. M . .	N 00 ln
75		87 ídem		6 . .
76		88 Idem . .		9 12
77		88 vto. Idem . 			29 47
78		90 Idem		25 04
79		91 ídem		7 12
80		91 vto. ídem		4178
81		92 Idem		27 55
82		92 J vto Idem		ii 18
83		95 vto. Idem ........	9 5°
84		96 Idem		9 82
«s		97 vto. Idem		24 20
86		98 Idem	3 06
87		100 Idem		187
88		ioi Idem		2 84
89		iot vto. Idem		2 72
90		102 Idem		4 15
9*		102 vto. Idem		6 30
92		103 Idem		17 89
93		103 vto. Idem		25 93
94		105 Idem		8 90
95		105 vto. Idem		6 37
96		108 Idem		5° 05
97		108 vto. Idem 			20 53
98		109 Idem		22 50
99		no Idem		7 5°
100		ni Idem		27 60
loi		112 Idem ........	9 *9
102		112 vto. Idem . ,		42 15
IO3		113 Idem		IS 38
I04		113 vto. Idem		4 27
Io5		114 vto. Idem		106 76
106		116 Idem		10 19
107		117 vto. Idem . . . . „ . . .	*3 50
108		121 Idem		44 75
100		122 Idem		8 86
HO		122 vto. Idem		4 39
III		123 Idem		13 °4
I 12		123 vto. Idem		5° 50
*13		127 vto. Idem		12 61
114		129 Idem			18 50
**5		129 vto. Idem		ii 87
116		130 Idem		12 61
H7		131 vto. Idem		48 50
118		132 Idem		16 46
119		135 Idem		8 82
120	•	136 vto. Idem ........	8 46
121		*37Ívto* Idem		41 19
122		138 Idem	• •	*3 73
123		139 Idem		3 73
124		139 vto. Idem		20 25
I25		141 Idem		14 . .
126		143 vto. Idem		16 31
127		144 Idem		10 27
128		144 vto. Idem			19 42
129		145 Idem		*33 °5
130		145 vto. Idem ........	53 «i
*3*		147 Idem		141 77
132		148 vto. Idem		41 35
*33		149 Idem 			10 69
*34		150 Idem		25 04
*35	•	150 vto. Idem		6 25
136		151 Idem 			28 37
137		162 vt. 163 Idem		I27 5O
138		i73i 774 Wem		II 87
*39		176 Idem		8 25
140		177 vto. Idem . . 			IO 5O
141		178 Idem		IO 5O
142		179 Idem		26 O5
*43		183 vto. Idem		9 23
144		185 Idem		7 80
145		185 vt. 186 Idem ... . . . . .	8 45
146		187,188 Idem		8 45
*47		192 Idem		12 43
148		194 vto. Idem		21 18
149		195 Idem		10 28
*5°		196 vto. Idem		2 64
*5*		199 vt, 200 Idem		16 . .
*52		202 Idem		19 49
153		292 vto. Idem		25 °5
*54		203 vto. Idem		12 . .
*55		204 Idem		24 . .
156		204 vto. Idem		33 22
*57		206 Idem		ii 13
*58		207 vto. Idem . 			13 *9
*59		208 vto. Idem ........	3° 25
160		209 Idem		*5 34
161		209 vto. Idem	.	29 08
162		211 Idem		8 37
163		211 vto. Idem		90 97
164		212 Idem		23 23
165		212 vto. Idem		23 *3
166		213 Idem		20 89
167		213 vto. Idem		 .	20 89
168		214 Idem		9 45
