Title,University/Archive,Location,Year,Latitude,Longitude
"Columbia University Library, Oral History Collection",Columbia University Library,"New York, NY",,40.7127753,-74.0059728
"Robert C. Hill Collection, Rauner Special Collection, Dartmouth College Archives",Dartmouth College,"Hanover, NH",1957-1961,43.7022451,-72.2895526
"Lilly Library Special Collection, Friends United Meeting Papers",Earlham College,"Richmond, Indiana",,39.8289369,-84.8902382
"Florida International University, Green Library, Special Collections, Cuban Pamphlet Collection",Florida International University,"Miami, FL",,25.7616798,-80.1917902
"Mississippi State University, Turner Catledge Papers, Special Collections Department",Mississippi State University,"Mississippi State, MS",1951 - 1966,33.4555279,-88.7903868
"Princeton University Library, Rare Books and Special Collections",Princeton University,"Princeton, NJ",,40.3572976,-74.6672226
"The State University of New Jersey Rutgers, Rare Books and Special Collections, Frances Grant Papers and Robert J. Alexander Papers",The State University of New Jersey Rutgers,"New Brunswick, NJ",1952-1965,40.4862157,-74.4518188
"University of Miami, Cuban Heritage Collection",University of Miami,"Miami, FL",2002,25.7616798,-80.1917902
"University of Wyoming, American Heritage Center, Richard H. Sanger Collection",University of Wyoming,"Laramie, Wyoming",,41.3113669,-105.5911007
"Wisconsin State Historical Society, Archives Division, The Dickey Chapelle Papers, 1933-1967",Wisconsin State Historical Society,"Madison, WI",1933-1967,43.0730517,-89.4012302
