Title,University/Archive,Location,Year,Latitude,Longitude
Agencia de Informaciones Periodisticas. Cuba: Terror y Muerte,Florida International University Pamphlet Collection & The University of Miami,"Miami, FL ",1964,25.7616798,-80.1917902
 Diplomatic Correspondence of the U.S. State Department: Cuba 1960,U.S. State Department,"Lanham, MD",1960-1963,38.9685112,-76.8620327
"Latin American and Iberian Pamphlets II, 1802-1992",Library of Congress,"Washington, DC",1993,38.9071923,-77.0368707
 Archive of Latin Americana,NACLA,"Wilmington, DE",1998,39.7390721,-75.5397878
Princeton University Latin American Pamphlet Collection,Princeton University Library,"Princeton, N.J",1989,40.3572976,-74.6672226
"Confidential U.S. State Department central files. Cuba, 1950-1954: internal affairs, decimal numbers 737, 837, and 937 and foreign affairs, decimal numbers 637 and 611.37",United States Department of State,"Frederick, MD",1986,39.4142688,-77.4105409
"Confidential U.S. State Department central files. Cuba, 1955-1959: internal affairs, decimal numbers 737, 837, and 937 and foreign affairs, decimal numbers 637 and 611.37",United States Department of State,"Frederick, MD",1987,39.4142688,-77.4105409
"Confidential U.S. State Department central files. Cuba, 1960- January 1963, foreign affairs: decimal numbers 637 and 611.37",United States Department of State,"Bethesda, MD",1999,38.984652,-77.0947092
"Confidential U.S. State Department central files. Cuba, 1960-January 1963: internal affairs, decimal numbers 737, 837 and 937",United States Department of State,"Bethesda, MD",2000,38.984652,-77.0947092
"The Cuban Connection: A Potpourri of Revolutionary Ephemera, 1957-1978",Yale University Library,"New Haven, CT",1982,41.308274,-72.9278835
