Title,Author,Publisher,Location,Year,Latitude,Longitude
Catalogo de letras,,,"Miami, FL",,25.7616798,-80.1917902
El Independentista,,,"Miami, FL",1989,25.7616798,-80.1917902
La nación,,,"Miami, FL",1968,25.7616798,-80.1917902
Noticias Católicas: NC,,,"Washington, D.C",1964,25.7616798,-80.1917902
NotiCuba,,,"Washington, D.C",,25.7616798,-80.1917902
Papel periódico,,,"Miami, FL",1971,38.9071923,-77.0368707
Presencia,,,"Miami, FL",1980,38.9071923,-77.0368707
RECE,,,"Miami, FL",1964,25.7616798,-80.1917902
Tridente,,,"Miami, FL",1963,25.7616798,-80.1917902
Unidad órgano oficial del Movimiento Unidad Revolucionaria,,,"Miami, FL",,25.7616798,-80.1917902
El Presidio Politico en Cuba Comunista,"Alabau Trelles, Francisco",,"Miami, FL",1964,25.7616798,-80.1917902
El Heraldo del exilio,,,"Miami, FL",1974,25.7616798,-80.1917902
Liberación,,,"Miami, FL",1964,25.7616798,-80.1917902
Humboldt 7 y el comunismo cubano,Directorio Revolucionario de Cuba.,,"Panamá City, Panamá",1964,25.7616798,-80.1917902
Trinchera,,,"Miami, FL",1961,25.72149,-80.2683838
Chispa,,,"Coral Gables, FL",1962,8.9823792,-79.5198696
El nuevo zig-zag,,,"Miami, FL",1988,25.7616798,-80.1917902
Memoria,,,"Miami, FL",2001,25.7616798,-80.1917902
Cuba nueva,,,"Coral Gables, FL",1962,25.72149,-80.2683838
Réplica,,,"Miami, FL",1963,25.7616798,-80.1917902
La verdad,,,"Miami, FL",1972,25.7616798,-80.1917902
"La cruz sigue en pie: biografía y escritos de Alberto Muller, ideario de una nueva generación cubana","Muller Quintana, Alberto",,"Caracas, Venezuela",1962,10.4805937,-66.9036063
El Presidio Politico de Fidel Castro en Cuba,"Nunez Perez, Orlando",Ediciones Combate,"San Jose, Costa Rica",1960,9.9280694,-84.0907246
Vitral: la libertad de la luz,,,"Pinar del Rio, Cuba",1994,22.4076256,-83.8473015
Libertad,,,"Miami, FL",1960,25.7616798,-80.1917902
Renovacion,,,"La Habana, Cuba",2002,23.1135925,-82.3665956
Zig-zag libre,,,"Miami, FL",1960,25.7616798,-80.1917902
Desafios.,,,"San Antonio de los Altos, Venezuela",1993,10.3696393,-66.9571026
Anuario de la iglesia catolica,,,,1972,,
El Avance criollo,,,"La Habana, Cuba",1934,23.1135925,-82.3665956
