Title,Author,Publisher,Location,Year,Latitude,Longitude
"Presidents of Central America, Mexico, Cuba, and Hispaniola: Conversations and Correspondence","Alexander, Robert Jackson",Praeger,"Westport, CN",1995,41.1414717,-73.3579049
Modern Cuba: Indexes of the Robert J. Alexander Interview Collection,"Alexander, Robert Jackson, Jody Pavilack, and David A. Sartorius",Duke-UNC Program in Latin American Studies,"Durham, NC",1999,35.9940329,-78.898619
Los fieles de Castro,"Alfonso, Pablo M",Ediciones Cambio,"Miami, FL",1991,25.7616798,-80.1917902
Los ultimos Castristas: Quienes son?,"Alfonso, Pablo M","Centro de Documentacion y Formacion, Ediciones ST","Caracas, Venezuela",1998,10.4805937,-66.9036063
 Latin American Journalism Bibliography,"Alisky, Marvin",Fondo de Publicidad Interamericana,"Mexico City, Mexico",1958,25.72149,-80.2683838
Cuba y su presidio político,"Beruvides, Esteban M.",12th Avenue Graphics,"Coral Gables, FL",1994,25.72149,-80.2683838
"Cuba, anuario histórico","Beruvides, Esteban M",12th Ave. Graphics,"Coral Gables, FL",1996,19.4326077,-99.133208
Cuba: los crímenes impunes de Fidel Castro,"Beruvides, Esteban M.",Colonial Press International,"Miami, FL",1999,25.7616798,-80.1917902
Cuba y sus mártires,"Beruvides, Esteban M, Arsenio Parodi, and Ilario Morfa Vilariño",,12th Avenue Graphics,1993,25.8030395,-80.2176453
"Latin American Newspapers in United States Libraries; A Union List Compiled in the Serials Division, Library of Congress","Charno, Steven M.",Conference on Latin American History by the University of Texas Press,"Austin, TX",1969,30.267153,-97.7430608
"Cuba, 1953-1978: A Bibliographic Guide to the Literature","Chilcote, Ronald H, and Sheryl Lutjens",Kraus International Publications,"White Plains, NY",1986,41.0339862,-73.7629097
"Cuba, Cubans and Cuban-Americans, 1902-1991: A Bibliography","Dossick, Jesse J.",North-South Center University of Miami,"Coral Gables, FL",1992,25.72149,-80.2683838
La Enciclopedia de Cuba,"Enciclopedia y Clásicos Cubanos, inc",Enciclopedia y Clásicos Cubanos,"San Juan, PR",1975,18.4655394,-66.1057355
"A Survey of Cuban Revistas, 1902-1958","Esquenazi-Mayo, Roberto",Library of Congress,"Washington, DC",1993,38.9071923,-77.0368707
Cuba: Catolicismo y sociedad en un siglo de independencia,"Fernandez Santalices, Manuel",Organization Democrata Cristiano de America (ODCA),"Caracas, Venezuela",1996,10.4805937,-66.9036063
Directorio Social de la Habana,"Fontanills, Maria R and Eduardo Fontanills",Impresores P. Fernandez,"La Habana, Cuba",1957,23.1135925,-82.3665956
The Cuban Revolution of Fidel Castro Viewed from Abroad; An Annotated Bibliography,"Fort, Gilberto V.",The University of Kansas Library,"Lawrence, KS",1969,38.9716689,-95.2352501
The Cuban Revolution and the United States: A Chronological History,"Franklin, Jane",Ocean,"Melbourne, Australia",1992,-37.8136276,144.9630576
Union List of Latin American Newspapers in Libraries in the United States,"Gropp, Arthur E","Department of Cultural Affairs, Pan American Union","Washington, DC",1953,38.9071923,-77.0368707
A Bibliography of Latin American Bibliographies,"Gropp, Arthur E, and C. K Jones",Scarecrow Press,"Metuchen, NJ",1968,40.5431598,-74.3632049
