Object ID,Digital ID,Title,Volume,Alternative Title,Uniform Title,Creator,Contributor,Summary,Note,Subject,Genre,Publisher,Date,Approximate Date,Coverage Temporal,Coverage Spatial,Call Number,Language,Preceding Title,Succeeding Title,Repository,Collection Title,Collection No.,Series,Container,Rights,Standardized Rights Statement
asm0341002322,,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948","Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,"Pan American World Airways, Inc.",,,Published as a service to teachers.,"Pan American World Airways, Inc. -- Periodicals; Aeronautics, Commercial -- United States -- Periodicals; Aeronautics, Commercial -- Latin America -- Periodicals; Aeronautics -- Study and teaching -- Periodicals; Latin America -- Description and travel -- Periodicals",Periodicals,New York : Pan American World Airways,1948-02,,1940-1949,,HE9803.P36 C55,eng,Classroom clipper,"Classroom clipper (New York, N.Y. : 1959)",University of Miami. Libraries. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Periodicals,"Box No. 5 of 49; Box Title: Classroom Clipper, Pan American World Airways Teacher, 1944-1968; Folder No. 4; Folder Title: Pan American World Airways Teacher, Vol. 4, 1948","This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: http://merrick.library.miami.edu/digitalprojects/copyright.html",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341002322,asm03410023220001001,Page 1,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220002001,Page 2,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220003001,Page 3,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220004001,Page 4,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220005001,Page 5,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220006001,Page 6,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220007001,Page 7,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220008001,Page 8,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220009001,Page 9,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220010001,Page 10,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220011001,Page 11,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002322,asm03410023220012001,Page 12,"Pan American World Airways teacher, Vol. IV, No. 3, February 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948","Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,"Pan American World Airways, Inc.",,,Published as a service to teachers.,"Pan American World Airways, Inc. -- Periodicals; Aeronautics, Commercial -- United States -- Periodicals; Aeronautics, Commercial -- Latin America -- Periodicals; Aeronautics -- Study and teaching -- Periodicals; Latin America -- Description and travel -- Periodicals",Periodicals,New York : Pan American World Airways,1948-04,,1940-1949,,HE9803.P36 C55,eng,Classroom clipper,"Classroom clipper (New York, N.Y. : 1959)",University of Miami. Libraries. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Periodicals,"Box No. 5 of 49; Box Title: Classroom Clipper, Pan American World Airways Teacher, 1944-1968; Folder No. 4; Folder Title: Pan American World Airways Teacher, Vol. 4, 1948","This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: http://merrick.library.miami.edu/digitalprojects/copyright.html",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341002323,asm03410023230001001,Page 1,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230002001,Page 2,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230003001,Page 3,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230004001,Page 4,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230005001,Page 5,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230006001,Page 6,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230007001,Page 7,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230008001,Page 8,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230009001,Page 9,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230010001,Page 10,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230011001,Page 11,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002323,asm03410023230012001,Page 12,"Pan American World Airways teacher, Vol. IV, No. 4, April 1948",,,,,,,,,,,,,,,,,,,,,,,,
asm0341002324,,"Pan American World Airways teacher, Vol. IV, No. 5, June 1948","Pan American World Airways teacher, Vol. IV, No. 5, June 1948",,,"Pan American World Airways, Inc.",,,Published as a service to teachers.,"Pan American World Airways, Inc. -- Periodicals; Aeronautics, Commercial -- United States -- Periodicals; Aeronautics, Commercial -- Latin America -- Periodicals; Aeronautics -- Study and teaching -- Periodicals; Latin America -- Description and travel -- Periodicals",Periodicals,New York : Pan American World Airways,1948-06,,1940-1949,,HE9803.P36 C55,eng,Classroom clipper,"Classroom clipper (New York, N.Y. : 1959)",University of Miami. Libraries. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Periodicals,"Box No. 5 of 49; Box Title: Classroom Clipper, Pan American World Airways Teacher, 1944-1968; Folder No. 4; Folder Title: Pan American World Airways Teacher, Vol. 4, 1948","This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: http://merrick.library.miami.edu/digitalprojects/copyright.html",http://rightsstatements.org/vocab/NoC-US/1.0/
